tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,PaperlessBilling_Yes,Churn_Yes,senior_citizen_Yes,internet_service_Yes,multiple_lines,DSL,Fiber optic,Month-to-month,One year,Two year,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check
1,0,1,0,0,0,0,0,29.85,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
34,1,0,1,0,0,0,1,1889.5,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
2,1,1,0,0,0,0,1,108.15,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1
45,1,0,1,1,0,0,1,1840.75,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
2,0,0,0,0,0,0,2,151.65,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
8,0,0,1,0,1,1,2,820.5,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
22,0,1,0,0,1,0,2,1949.4,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0
10,1,0,0,0,0,0,0,301.9,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
28,0,0,1,1,1,1,2,3046.05,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
62,1,1,0,0,0,0,1,3487.95,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
13,1,0,0,0,0,0,1,587.45,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
16,0,0,0,0,0,0,0,326.8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
58,0,0,1,0,1,1,2,5681.1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0
49,0,1,1,0,1,1,2,5036.3,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0
25,1,0,1,1,1,1,2,2686.05,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0
69,1,1,1,1,1,1,2,7895.15,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0
